F_TYPECODE,F_TYPE,F_CODE,F_NAME,F_TIME,F_DATA,F_AREA,STATUS
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1960,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1961,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1962,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1963,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1964,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1965,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1966,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1967,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1968,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1969,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1970,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1971,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1972,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1973,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1974,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1975,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1976,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1977,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1978,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1979,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1980,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1981,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1982,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1983,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1984,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1985,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1986,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1987,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1988,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1989,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1990,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1991,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1992,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1993,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1994,,阿鲁巴,1
C,年度数据,A030502301,公共教育支出总数（占政府支出的比例）,1995,,阿鲁巴,1
